,[species_0],[species_1],[species_2],[species_3],[species_4],[species_5],[species_6],[species_7],[species_8],[species_9],[species_10],[species_11],[species_12],[species_13],[species_14],[species_15],[species_16],[species_17],[species_18],[species_19],[species_20],[species_21],[species_22],[species_23],[species_24],[species_25],[species_26],[species_27],[species_28],[species_29],[species_30]
species_0,,79999.26531903075,203.70470302651663,203.70470302648997,40.09035251412122,40.090352514062644,1.1897438353423258,1.189743835401411,773.3577146207124,773.3577146212338,9275.02307985869,9275.02307986098,16944.163216778703,16944.163216778674,106385.82964985263,106385.82964985253,42068.536852507896,42068.5368525079,79498.77803152661,2631.628328321866,2631.628328321863,517.6300940550923,517.6300940550645,23.206026461112188,23.2060264611185,0.0,0.0,0.0,0.0,0.0,0.0
species_1,500.4872875042308,,203.70470302651663,203.70470302648997,40.09035251412122,40.090352514062644,1.1897438353423258,1.189743835401411,773.3577146207124,773.3577146212338,9275.02307985869,9275.02307986098,16944.163216778703,16944.163216778674,106385.82964985263,106385.82964985253,42068.536852507896,42068.5368525079,85498.77803152661,2631.628328321866,2631.628328321863,517.6300940550923,517.6300940550645,23.206026461112188,23.2060264611185,0.0,0.0,0.0,0.0,0.0,0.0
species_2,5.782318505686334e-06,3.2045477357772433e-09,,203.70470302648997,40.09035251412122,40.090352514062644,1.1897438353423258,1.189743835401411,91.41062902485841,91.41062902533132,1082.7510808581637,1082.751080859922,6955.066572034614,6955.066572034557,2.689886528647924,2.6898865285030107,0.5222488440293269,0.5222488437552677,5.785636564918162e-06,3.226626504818158e-05,3.226629717079589e-05,6.3525724579101796e-06,6.352703920979077e-06,1.7014030849177908,1.7014030849410893,0.0,0.0,0.0,0.0,0.0,0.0
species_3,5.782318505686334e-06,3.2045477357772433e-09,203.70470302651663,,40.09035251412122,40.090352514062644,1.1897438353423258,1.189743835401411,91.41062902485841,91.41062902533132,1082.7510808581637,1082.751080859922,6955.066572034614,6955.066572034557,2.689886528647924,2.6898865285030107,0.5222488440293269,0.5222488437552677,5.785636564918162e-06,3.226626504818158e-05,3.226629717079589e-05,6.3525724579101796e-06,6.352703920979077e-06,1.7014030849177908,1.7014030849410893,0.0,0.0,0.0,0.0,0.0,0.0
species_4,5.746575541549023e-06,3.1847390849498537e-09,124.19419078702931,124.19419078703507,,40.090352514062644,1.1897438353423258,1.189743835401411,91.41062789573893,91.41062789594736,1082.7510460324186,1082.751046033104,6955.066575385865,6955.06657538589,2.6899982308811925,2.6899982306550316,0.5222797693663742,0.5222797690668499,5.749866029393544e-06,3.206637340061231e-05,3.206661247996281e-05,6.313216932714526e-06,6.313242300054865e-06,1.7014030602098407,1.7014030602343597,0.0,0.0,0.0,0.0,0.0,0.0
species_5,5.746575541549023e-06,3.1847390849498537e-09,124.19419078702931,124.19419078703507,40.09035251412122,,1.1897438353423258,1.189743835401411,91.41062789573893,91.41062789594736,1082.7510460324186,1082.751046033104,6955.066575385865,6955.06657538589,2.6899982308811925,2.6899982306550316,0.5222797693663742,0.5222797690668499,5.749866029393544e-06,3.206637340061231e-05,3.206661247996281e-05,6.313216932714526e-06,6.313242300054865e-06,1.7014030602098407,1.7014030602343597,0.0,0.0,0.0,0.0,0.0,0.0
species_6,4.85864054382221e-06,2.692647533347139e-09,3.1820655147919967,3.1820655146622756,0.6262085662312173,0.6262085663235085,,1.189743835401411,36.87683700293558,36.87683700219275,439.2248257400903,439.2248257415221,282.4687546379977,282.4687546378412,0.04030529079628416,0.04030529090940868,0.005467747992558753,0.005467748036195973,4.8613866667595915e-06,2.710859706411232e-05,2.7108730920320073e-05,5.337114897568911e-06,5.3371395144161906e-06,0.02661401014352114,0.026614009980964925,0.0,0.0,0.0,0.0,0.0,0.0
species_7,4.85864054382221e-06,2.692647533347139e-09,3.1820655147919967,3.1820655146622756,0.6262085662312173,0.6262085663235085,1.1897438353423258,,36.87683700293558,36.87683700219275,439.2248257400903,439.2248257415221,282.4687546379977,282.4687546378412,0.04030529079628416,0.04030529090940868,0.005467747992558753,0.005467748036195973,4.8613866667595915e-06,2.710859706411232e-05,2.7108730920320073e-05,5.337114897568911e-06,5.3371395144161906e-06,0.02661401014352114,0.026614009980964925,0.0,0.0,0.0,0.0,0.0,0.0
species_8,8.449609231211101e-06,4.682754236537917e-09,2427.9236387717174,2427.923638771725,477.53974419426777,477.5397441943303,14.324034733271906,14.324034733118122,,773.3577146212338,9275.02307985869,9275.02307986098,16944.163216778707,16944.163216778674,33.365016591440465,33.36501659164328,4.439137121412207,4.439137121608659,8.454189847401445e-06,4.7140671017705186e-05,4.714070771059223e-05,9.281004246289223e-06,9.28105634391368e-06,20.689477894648984,20.689477894542517,0.0,0.0,0.0,0.0,0.0,0.0
species_9,8.449609231211101e-06,4.682754236537917e-09,2427.9236387717174,2427.923638771725,477.53974419426777,477.5397441943303,14.324034733271906,14.324034733118122,773.3577146207124,,9275.02307985869,9275.02307986098,16944.163216778707,16944.163216778674,33.365016591440465,33.36501659164328,4.439137121412207,4.439137121608659,8.454189847401445e-06,4.7140671017705186e-05,4.714070771059223e-05,9.281004246289223e-06,9.28105634391368e-06,20.689477894648984,20.689477894542517,0.0,0.0,0.0,0.0,0.0,0.0
species_10,5.8544587953084845e-06,3.2445277436668772e-09,2427.9236508554177,2427.9236508555964,477.5397465732261,477.5397465733792,14.324034743675803,14.324034743660985,1113.84198833276,1113.8419883328606,,9275.02307986098,16944.163216778707,16944.163216778674,33.36499524154248,33.364995241682244,4.439136400543747,4.439136400629846,5.857907731665853e-06,3.2651460635507564e-05,3.265174660379976e-05,6.428320975730233e-06,6.428418211370819e-06,20.689478108428517,20.68947810834652,0.0,0.0,0.0,0.0,0.0,0.0
species_11,5.8544587953084845e-06,3.2445277436668772e-09,2427.9236508554177,2427.9236508555964,477.5397465732261,477.5397465733792,14.324034743675803,14.324034743660985,1113.84198833276,1113.8419883328606,9275.02307985869,,16944.163216778707,16944.163216778674,33.36499524154248,33.364995241682244,4.439136400543747,4.439136400629846,5.857907731665853e-06,3.2651460635507564e-05,3.265174660379976e-05,6.428320975730233e-06,6.428418211370819e-06,20.689478108428517,20.68947810834652,0.0,0.0,0.0,0.0,0.0,0.0
species_12,5.345750514974764e-06,2.962602822199695e-09,2427.923645418936,2427.9236454189645,477.53974550296607,477.53974550300825,14.324034761423507,14.324034761394916,1113.8419821902005,1113.8419821898376,13199.335125633783,13199.335125630241,,16944.163216778674,33.36498116842535,33.36498116854662,4.439133740115399,4.439133740180883,5.348605506729585e-06,2.9832425257588632e-05,2.983260718143875e-05,5.873408290814651e-06,5.873390704226834e-06,20.689478012076965,20.68947801197889,0.0,0.0,0.0,0.0,0.0,0.0
species_13,5.345750514974764e-06,2.962602822199695e-09,2427.923645418936,2427.9236454189645,477.53974550296607,477.53974550300825,14.324034761423507,14.324034761394916,1113.8419821902005,1113.8419821898376,13199.335125633783,13199.335125630241,16944.163216778707,,33.36498116842535,33.36498116854662,4.439133740115399,4.439133740180883,5.348605506729585e-06,2.9832425257588632e-05,2.983260718143875e-05,5.873408290814651e-06,5.873390704226834e-06,20.689478012076965,20.68947801197889,0.0,0.0,0.0,0.0,0.0,0.0
species_14,4.9772181589845695e-06,2.7583630129175933e-09,0.33339151957529506,0.3333915196048056,0.06560440981559922,0.0656044097300758,0.44226457627934573,0.44226457630187127,13.708676558852531,13.708676558243093,157.1364655279266,157.13646552691554,30.114937267074595,30.114937267180103,,106385.82964985253,42068.536852507896,42068.5368525079,4.980219587342794e-06,2.7740212156713264e-05,2.7740379486430925e-05,5.4613005971680844e-06,5.461326849228189e-06,0.0027860767360292195,0.0027860768158832388,0.0,0.0,0.0,0.0,0.0,0.0
species_15,4.9772181589845695e-06,2.7583630129175933e-09,0.33339151957529506,0.3333915196048056,0.06560440981559922,0.0656044097300758,0.44226457627934573,0.44226457630187127,13.708676558852531,13.708676558243093,157.1364655279266,157.13646552691554,30.114937267074595,30.114937267180103,106385.82964985263,,42068.536852507896,42068.5368525079,4.980219587342794e-06,2.7740212156713264e-05,2.7740379486430925e-05,5.4613005971680844e-06,5.461326849228189e-06,0.0027860767360292195,0.0027860768158832388,0.0,0.0,0.0,0.0,0.0,0.0
species_16,3.9286615549549046e-06,2.177255274632214e-09,0.33339164945235844,0.33339164942402183,0.06560444064511606,0.06560444054600696,0.4422645737070947,0.4422645736243189,13.708674933323053,13.708674932967629,157.13640985924903,157.13640985653507,30.114921562062367,30.114921562075708,0.0036958867995391634,0.003695886705682864,,42068.5368525079,3.930798985095162e-06,2.190256880193112e-05,2.1902649584410626e-05,4.312050324007789e-06,4.312167177655222e-06,0.002786112773312204,0.002786112921595397,0.0,0.0,0.0,0.0,0.0,0.0
species_17,3.9286615549549046e-06,2.177255274632214e-09,0.33339164945235844,0.33339164942402183,0.06560444064511606,0.06560444054600696,0.4422645737070947,0.4422645736243189,13.708674933323053,13.708674932967629,157.13640985924903,157.13640985653507,30.114921562062367,30.114921562075708,0.0036958867995391634,0.003695886705682864,42068.536852507896,,3.930798985095162e-06,2.190256880193112e-05,2.1902649584410626e-05,4.312050324007789e-06,4.312167177655222e-06,0.002786112773312204,0.002786112921595397,0.0,0.0,0.0,0.0,0.0,0.0
species_18,85451.4643164683,47.31371505824612,10185.288258130448,10185.288258130604,1999.5753227794082,1999.5753227795506,61.05722863069798,61.057228630607526,116697.04256919812,116697.04256919754,466134.7887264742,466134.78872647235,38886.32132576652,38886.32132576664,13493.26573994281,13493.265739942924,1934.7313486298444,1934.7313486300045,,92921.1203753352,92921.1203753352,17771.077651793676,17771.077651793854,3573.120190051681,3573.1201900515857,0.0,0.0,0.0,0.0,0.0,0.0
species_19,4.72128756964956e-06,2.616526832844967e-09,181.53956462300633,181.5395646229493,35.72457628573076,35.72457628583167,1.06177010142565,1.061770101170017,604.4854038615732,604.4854038608223,7253.1919439701005,7253.19194397162,8654.028606135163,8654.028606135262,2.34187116151436,2.3418711617180863,0.30122667087009647,0.30122667109807644,4.7239208232936295e-06,,2631.628328321863,517.6300940550923,517.6300940550645,20.11051886455177,20.110518864644597,0.0,0.0,0.0,0.0,0.0,0.0
species_20,4.72128756964956e-06,2.616526832844967e-09,181.53956462300633,181.5395646229493,35.72457628573076,35.72457628583167,1.06177010142565,1.061770101170017,604.4854038615732,604.4854038608223,7253.1919439701005,7253.19194397162,8654.028606135163,8654.028606135262,2.34187116151436,2.3418711617180863,0.30122667087009647,0.30122667109807644,4.7239208232936295e-06,2631.628328321866,,517.6300940550923,517.6300940550645,20.11051886455177,20.110518864644597,0.0,0.0,0.0,0.0,0.0,0.0
species_21,4.415137242594991e-06,2.446859092876041e-09,181.53956425200522,181.53956425191916,35.72457620417773,35.72457620425849,1.0617701088911706,1.0617701086860811,604.485404345895,604.4854043443534,7253.191959567409,7253.191959568888,8654.028612537986,8654.028612538013,2.341868381480869,2.3418683814578287,0.3012253905257921,0.30122539078651417,4.417601864473338e-06,2.4614790388681372e-05,2.461479474115956e-05,,517.6300940550645,20.110518870842537,20.110518870960128,0.0,0.0,0.0,0.0,0.0,0.0
species_22,4.415137242594991e-06,2.446859092876041e-09,181.53956425200522,181.53956425191916,35.72457620417773,35.72457620425849,1.0617701088911706,1.0617701086860811,604.485404345895,604.4854043443534,7253.191959567409,7253.191959568888,8654.028612537986,8654.028612538013,2.341868381480869,2.3418683814578287,0.3012253905257921,0.30122539078651417,4.417601864473338e-06,2.4614790388681372e-05,2.461479474115956e-05,517.6300940550923,,20.110518870842537,20.110518870960128,0.0,0.0,0.0,0.0,0.0,0.0
species_23,3.861483481531426e-06,2.140025354463113e-09,334.04361145938,334.0436114595699,65.73319805025669,65.73319805033437,1.9548965486184335,1.9548965483021068,673.761759741739,673.7617597409991,8074.097690272979,8074.097690276711,11407.914882740703,11407.914882740659,4.35333179958941,4.353331799751603,0.5687021111954885,0.5687021117448234,3.863716853453895e-06,2.1540076568640365e-05,2.154028175457075e-05,4.240757889764636e-06,4.24072931723975e-06,,23.2060264611185,0.0,0.0,0.0,0.0,0.0,0.0
species_24,3.861574251260114e-06,2.1400756189901885e-09,334.04361145897207,334.04361145916243,65.7331980501764,65.73319805023735,1.9548965486160537,1.954896548551915,673.7617597400027,673.7617597398931,8074.097690253205,8074.097690255599,11407.914882737501,11407.914882737496,4.353331796514106,4.3533317964971285,0.5687021102411233,0.5687021106607039,3.863862128012079e-06,2.1540586276700192e-05,2.1540613297751255e-05,4.240858185110963e-06,4.240889193585649e-06,23.206026461054638,,0.0,0.0,0.0,0.0,0.0,0.0
species_25,500.4872875042308,79999.26531903075,203.70470302651663,203.70470302648997,40.09035251412122,40.090352514062644,1.1897438353423258,1.189743835401411,773.3577146207124,773.3577146212338,9275.02307985869,9275.02307986098,16944.163216778703,16944.163216778674,106385.82964985263,106385.82964985253,42068.536852507896,42068.5368525079,79498.77803152661,2631.628328321866,2631.628328321863,517.6300940550923,517.6300940550645,23.206026461112188,23.2060264611185,,0.0,0.0,0.0,0.0,0.0
species_26,1.0903608073454862e-05,6.042754971952729e-09,145.24158572312197,145.24158572317054,28.58291087010136,28.582910870197036,0.8482230253190584,0.8482230253963887,568768.1546775216,568768.1546775221,590724.9769201406,590724.976920139,45628.43555224755,45628.43555224751,1.6460885039118935,1.6460885038063926,0.17238022833628786,0.17238022817014984,1.0909650347067059e-05,6.0822705993056836e-05,6.082280980957115e-05,1.1974646003724871e-05,1.1974760262353903e-05,1.213136428948059,1.21313642897685,0.0,,0.0,0.0,0.0,0.0
species_27,1.342307674564544e-05,7.439038735878064e-09,143.4993147554955,143.4993147554051,28.239965991210294,28.239965991235906,0.10791019427006987,0.10791019425960482,556658.3008118287,556658.3008118282,562454.1148691586,562454.1148691582,43776.87197529949,43776.87197529947,1.6137131391310622,1.6137131390107053,0.16710199179535967,0.16710199159405806,1.3430589805442789e-05,7.488277539276178e-05,7.48828488249322e-05,1.4742791469241719e-05,1.4742723009358801e-05,107105.96646388437,107105.96646388435,0.0,0.0,,0.0,0.0,0.0
species_28,3.52483043869788e-05,1.9534530322041677e-08,143.76655194673347,143.76655194676042,119959.90964748587,119959.90964748594,10863.938729389716,10863.938729389525,561318.2904939122,561318.2904939128,562685.6341584501,562685.6341584492,44053.83396790043,44053.833967900566,5155.2766956869855,5155.276695687034,558.8658104573332,558.8658104577382,3.5267690599832e-05,0.00019675034722796644,0.0001967502851414944,3.873644704858481e-05,3.8736655839310875e-05,109730.89467611151,109730.89467611136,0.0,0.0,0.0,,0.0,0.0
species_29,1.1591910148672186e-05,6.4242103220199096e-09,143.6602691637634,143.660269163726,28.271653515226507,28.271653515160633,0.8389818267882091,0.83898182688669,557637.594244421,557637.5942444213,562503.240122383,562503.2401223824,43943.3849357166,43943.38493571666,1.6201418945059907,1.620141894562076,0.16979505422164404,0.16979505376326032,1.1598336993700131e-05,6.465994603548682e-05,6.466002108466585e-05,119482.36990594496,119482.36990594494,109680.64516004147,109680.64516004141,0.0,0.0,0.0,0.0,,0.0
species_30,499.9923173130263,0.7344066578989789,203.49108960792776,203.49108960793578,40.04824393650566,40.048243936405925,1.1884757171927514,1.1884757173296143,772.1485102798104,772.1485102795803,9233.003416321466,9233.003416323283,907.7734752164544,907.7734752163852,8838.339123115009,8838.339123115014,815.5394423862974,815.5394423862308,5499.273276029184,2628.737645503273,2628.737645503461,517.060247286055,517.060247286087,23.18075287376121,23.180752873913057,0.0,0.0,0.0,0.0,0.0,
